LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
53,Pahang,Bertam,Bertam,Bertam,Bertam,0,,Reserve name changed from Ulu Bertam Tambahan to Bertam to match DeptForestry map after checking location
54,Pahang,Beserah,Beserah,Beserah,Beserah,0,,
55,Terengganu,Besul,Besul,Besul,Besul,0,,
56,Terengganu,Besul Tambahan,Besul Tambahan,Besul Tambahan,Besul Tambahan,0,Reserve name changed from Besul (Tambahan) to Besul Tambahan to match gazette,Reserve name changed from Besul (Tambahan) to Besul Tambahan to match DeptForestry map
57,Pahang,Betung,0,Betung,Betung,0,,
58,Perak,Bikam,Bikam,0,Bikam,0,,
59,Perak,Bintang Hijau,Bintang Hijau,Bintang Hijau,Bintang Hijau,0,"Merged Bintang Hijau (Hulu Perak), Bintang Hijau (Kuala Kangsar), Bintang Hijau (Larut/Matang) into Bintang Hijau. Reserve name changed from Bintang Hijau (Hulu Perak) to Bintang Hijau to match gazette","Merged Bintang Hijau (Kuala Kangsar), Bintang Hijau (Hulu Perak), Bintang Hijau (Larut Matang) into Bintang Hijau to match DeptForestry map after checking locations"
60,Perak,Bubu,Bubu,Bubu,Bubu,0,"Merged Bubu (Kinta/Manjung), Bubu (Kuala Kangsar), Bubu (Larut/Matang) into Bubu. Reserve name changed from Bubu (Kinta/Manjung) to Bubu to match gazette","Merged Bubu (Kinta Manjung), Bubu (Kuala Kangsar), Bubu (Larut Matang) into Bubu to match DeptForestry map after checking locations"
61,Perak,Bujang Melaka,Bujang Melaka,Bujang Melaka,Bujang Melaka,0,"Merged Bujang Melaka (Kinta/Manjung), Bujang Melaka (Perak Selatan) into Bujang Melaka. Reserve name changed from Bujang Melaka (Kinta/Manjung) to Bujang Melaka to match gazette","Merged Bujang Melaka (Kinta Manjung), Bujang Melaka (Perak Selatan) into Bujang Melaka to match DeptForestry map after checking locations"
62,Kelantan,Bukit Akar,0,Bukit Akar,Bukit Akar,0,,
63,Perlis,Bukit Anak Gajah,Bukit Anak Gajah,0,0,0,,
64,Selangor,Bukit Badong,Bukit Badong,0,0,0,,
65,Terengganu,Bukit Bauk,Bukit Bauk,Bukit Bauk,Bukit Bauk,0,,
66,Selangor,Bukit Belata,Bukit Belata,Bukit Belata,Bukit Belata,0,,
67,Selangor,Bukit Belata Tambahan,0,Bukit Belata Tambahan,Bukit Belata Tambahan,0,,
68,Selangor,Bukit Belata Tambahan II,Bukit Belata Tambahan II,Bukit Belata Tambahan II,Bukit Belata Tambahan II,0,Reserve name changed from Bukit Belata Tambahan 2 to Bukit Belata Tambahan II to match gazette,Reserve name changed from Bukit Belata Tambahan 2 to Bukit Belata Tambahan II to match DeptForestry map
69,Terengganu,Bukit Berok,Bukit Berok,Bukit Berok,0,0,Reserve name changed from Bukit Beruk to Bukit Berok to match gazette,
70,Melaka,Bukit Beruang,0,Bukit Beruang,Bukit Beruang,0,,
71,Perlis,Bukit Besi Hangit,Bukit Besi Hangit,0,0,Bukit Besi Hangit,,
72,Johor,Bukit Bindu,0,Bukit Bindu,Bukit Bindu,0,,
73,Perlis,Bukit Bintang,0,Bukit Bintang,Bukit Bintang,0,,
74,Selangor,Bukit Broga,Bukit Broga,0,0,Bukit Broga,,
75,Pahang,Bukit Bujang,0,Bukit Bujang,Bukit Bujang,0,,
76,Selangor,Bukit Cerakah Tambahan,Bukit Cerakah Tambahan,Bukit Cerakah Tambahan,Bukit Cerakah Tambahan,0,Reserve name changed from Bukit Cerakah (Tambahan) to Bukit Cerakah Tambahan to match gazette,Reserve name changed from Bukit Cerakah(T) to Bukit Cerakah Tambahan to match DeptForestry map
77,Perlis,Bukit Chabang,Bukit Chabang,0,0,Bukit Chabang,,
78,Selangor,Bukit Cherakah,Bukit Cherakah,Bukit Cherakah,Bukit Cherakah,0,,
79,Kedah,Bukit Enggang,0,Bukit Enggang,Bukit Enggang,0,,
80,Pahang,Bukit Galing,Bukit Galing,Bukit Galing,Bukit Galing,0,,
81,Pahang,Bukit Galing Tambahan,Bukit Galing Tambahan,0,0,0,,
82,Pahang,Bukit Gebok,0,Bukit Gebok,Bukit Gebok,0,,
