state,district,mukim,gaznum,reserve,add,remove,gaz_year,gaz_month,gaz_day,gazeff_year,gazeff_month,gazeff_day,gaz_notes
Perak,Batang Padang,Chenderiang,465,Bukit Tapah,,70.41,2012,3,7,2012,3,7,Gazette Plan: PW 2077. 
Perak,Batang Padang,Chenderiang,460,Bukit Tapah,,75.27,2012,3,7,2012,3,7,Gazette Plan: PW 2059. 
Perak,Batang Padang,Chenderiang,461,Bukit Tapah,,87.41,2012,3,7,2012,3,7,Gazette Plan: PW 2069. 
Perak,Batang Padang,Chenderiang,462,Bukit Tapah,,92.24,2012,3,7,2012,3,7,Gazette Plan: PW 2071. 
Perak,Batang Padang,Chenderiang,463,Bukit Tapah,,116.69,2012,3,7,2012,3,7,Gazette Plan: PW 2067. 
Perak,Batang Padang,Batang Padang,470,Bukit Tapah,,150.54,2012,3,7,2012,3,7,Gazette Plan: PW 2073. 
Perak,Batang Padang,Batang Padang,472,Bukit Tapah,,153.3,2012,3,7,2012,3,7,Gazette Plan: PW 2063. 
Perak,Batang Padang,Batang Padang,471,Bukit Tapah,,180.4,2012,3,7,2012,3,7,Gazette Plan: PW 2051. 
Perak,Batang Padang,Batang Padang,469,Bukit Tapah,,186.3,2012,3,7,2012,3,7,Gazette Plan: PW 2055. 
Perak,Batang Padang,Batang Padang,468,Bukit Tapah,,207.3,2012,3,7,2012,3,7,Gazette Plan: PW 2065. 
Perak,Batang Padang,Slim,459,Bukit Slim,,390,2012,3,7,2012,3,7,Gazette Plan: PW 2048. 
Perak,Hulu Perak,Kenering,479,Bintang Hijau,,145.687,2012,3,15,2012,3,15,"Gazette Plan: PA 44a, 44b, 44c. "
Pahang,Jerantut,Tebing Tinggi,481,Jerantut Tambahan,200,,2012,3,29,2012,3,29,Gazette Plan: PW 5008. 
Pahang,Lipis,Hulu Jelai,482,Bukit Ibam,,200,2012,3,29,2012,3,29,Gazette Plan: PA 143763. Corrected forest reserve name by Gazette #1256 (2012)
Perak,Hulu Perak,Pengkalan Hulu,688,Padang Chong,,54.64,2012,4,12,2012,4,12,Gazette Plan: PW 3082. 
Kedah,Kubang Pasu,Temin,291,Sungai Badak,,95,2012,4,26,2009,8,12,Gazette Plan: PW 50072. 
Pahang,Jerantut,Tebing Tinggi,740,Jerantut Tambahan,100,,2012,5,10,2012,5,10,Gazette Plan: PW 50068. 
Pahang,Jerantut,Kuala Tembeling,741,Som,,99.88,2012,5,10,2012,5,10,Gazette Plan: PA 251198. 
Terengganu,Setiu,Hulu Setiu,458,Hulu Setiu,,4884,2012,5,24,2011,2,2,Gazette Plan: PW 829. Daerah not mentioned. Filled in based on external source.
Johor,Johor Bahru,Tanjung Kupang,5172,Sungei Pulai,,22.56,2012,6,21,2012,6,21,Gazette Plan: PW 3336. I renamed from Sungai to Sungei (more recent spelling)
Kelantan,Jeli,Kalai,1120,Sungai Betis Ganti,607.03,,2012,7,19,2011,6,12,Gazette Plan: PW 1030. 
Kelantan,Gua Musang,Ulu Nenggiri,1121,Sungai Betis,,594.894,2012,7,19,2011,6,12,Gazette Plan: PW 531. 
Malacca,Alor Gajah,Sungei Baru Ilir,571,X - NOT STATED,59.94,,2012,8,2,2011,6,8,Gazette Plan: PA 45736. Forest reserve NOT STATED
Malacca,Alor Gajah,Kemuning,571,X - NOT STATED,26,,2012,8,2,2011,6,8,Gazette Plan: PA 45739. Forest reserve NOT STATED
Kelantan,Kuala Krai,Batu Mengkebang,1287,Sokor Taku,,40.468,2012,8,16,2011,9,7,Gazette Plan: PW 414. 
Negeri Sembilan,Kuala Pilah,Terachi,837,Berembun,,83.47,2012,10,11,2012,10,11,"Gazette Plan: PW 5172, 5173. "
Perak,Kampar,Teja,1897,Bukit Kinta,,140.5,2012,10,11,2012,10,11,Gazette Plan: PW 2080. 
Perak,Kinta,"Hulu Kinta, Sungai Raya",1896,Bukit Kinta,,910,2012,10,11,2012,10,11,Gazette Plan: PW 2079. 
Pahang,Rompin,Endau,1875,Lesung Tambahan,80,,2012,12,6,2012,12,6,Gazette Plan: PW 5023. 
Pahang,Lipis,Kechau,1874,Chuat Tambahan,165,,2012,12,6,2012,12,6,Gazette Plan: PW 5024. 
Pahang,Rompin,Keratong,1877,Bukit Ibam,,79.93,2012,12,6,2012,12,6,Gazette Plan: PA 256002. 
Pahang,Lipis,Batu Yon,1876,Aur Gading,,165,2012,12,6,2012,12,6,Gazette Plan: PA 256386. 
Negeri Sembilan,Tampin,Gemas,1004,Gemas Selatan,86.53,,2012,12,20,2012,5,2,Gazette Plan: PW 5203. 
Kedah,Padang Terap,Batang Tunggang Kiri dan Batang Tunggang Kanan,24,Bukit Keramat,11105,,2013,1,17,2013,1,17,Gazette Plan: PW 1305. 
Kedah,Padang Terap,"Tekai, Pedu",25,Bukit Kemunting,5928,,2013,1,17,2013,1,17,Gazette Plan: PW 1306. 
Kedah,Padang Terap,"Tolak, Batang Tunggang Kiri",26,Bukit Genting Iboi,6394,,2013,1,17,2013,1,17,Gazette Plan: PW 1307. 
Kedah,Sik,Sok,27,Bukit Saiong,8191,,2013,1,17,2013,1,17,Gazette Plan: PW 1308. I renamed from Siong to Saiong (more recent spelling)
Kedah,Kubang Pasu,Malau,28,Bukit Kerong,391,,2013,1,17,2013,1,17,Gazette Plan: PW 1311. Gazettement made in two districts: Padang Terap and Kubang Pasu
Kedah,Kubang Pasu,"Pelubang, Malau, Wang Tepus",29,Bukit Payong (Kedah),1188,,2013,1,17,2013,1,17,Gazette Plan: PW 1312. I added (Kedah) to differentiate from the Perak reserve.
Kedah,Sik,Sik,30,Terenas Tambahan,381,,2013,1,17,2013,1,17,Gazette Plan: PW 1339. 
Kedah,Sik,Sok,31,Ulu Muda Tambahan,1359,,2013,1,17,2013,1,17,Gazette Plan: PW 1342. 
Pahang,Lipis,Batu Yon,61,Aur Gading Tambahan,202.8,,2013,1,17,2013,1,17,Gazette Plan: PW 5017. 
Pahang,Rompin,Endau,60,Lesung Tambahan,80,,2013,1,17,2013,1,17,Gazette Plan: PW 5022. 
Pahang,Jerantut,Kuala Tembeling,62,Som,,80,2013,1,17,2013,1,17,Gazette Plan: PA 144067. 
Pahang,Lipis,Hulu Jelai,63,Ulu Jelai,,202.8,2013,1,17,2013,1,17,Gazette Plan: PA 143744. Reserve renamed from Hulu Jelai to Ulu Jelai (more recent spelling)
Kedah,Kubang Pasu,Temin,32,Bukit Perangin,,282.375,2013,1,17,2012,10,29,"Gazette Plan: PW 50157, 50158, 10159. "
Pahang,Rompin,Endau,236,Lesung Tambahan,98.53,,2013,2,14,2013,2,14,Gazette Plan: PW 5027. 
Pahang,Jerantut,Kuala Tembeling,237,Som,,98.53,2013,2,14,2013,2,14,Gazette Plan: PA 256911. 
Negeri Sembilan,Jelebu,Pertang,166,Kenaboi,1062.3,,2013,3,14,2011,1,12,Gazette Plan: PW 5209. 
Perak,Kinta,Hulu Kinta,399,Bukit Kinta,,1068,2013,3,14,2013,3,14,"Gazette Plan: PA 106062, 106063, 106064. "
Perak,Kuala Kangsar,Senggang,398,Kledang Saiong,,1772,2013,3,14,2013,3,14,Gazette Plan: PW 1845. 
Pahang,Lipis,Batu Yon,505,Aur Gading Tambahan,80.91,,2013,3,28,2013,3,28,Gazette Plan: PW 5031. 
Pahang,Lipis,Batu Yon,506,Aur Gading Tambahan,197.5,,2013,3,28,2013,3,28,Gazette Plan: PW 5032. 
Pahang,Lipis,Hulu Jelai,507,Ulu Jelai,,80.91,2013,3,28,2013,3,28,Gazette Plan: PA 144276. Reserve renamed from Hulu Jelai to Ulu Jelai (more recent spelling)
Pahang,Lipis,Hulu Jelai,508,Ulu Jelai,,197.5,2013,3,28,2013,3,28,Gazette Plan: PA 144277. Reserve renamed from Hulu Jelai to Ulu Jelai (more recent spelling)
Terengganu,Hulu Terengganu,Hulu Terengganu,308,Tembat,,1114.0983,2013,3,28,2012,9,19,Gazette Plan: PW 848. 
Pahang,Lipis,Kechau,700,Chuat Tambahan,61.23,,2013,4,11,2013,4,11,Gazette Plan: PW 5034. 
Pahang,Rompin,Keratong,701,Bukit Ibam,,60.72,2013,4,11,2013,4,11,Gazette Plan: PA 258359. 
Kedah,Baling,Kupang,265,Gunung Inas,,98.53,2013,4,11,2012,4,19,"Gazette Plan: PW 50176, 50177. I renamed from Gunong to Gunung (more recent spelling)"
Kelantan,Kuala Krai,Gajah,678,Sungai Sam,,202.343,2013,4,11,2011,9,7,Gazette Plan: PW 391. 
Perak,Hulu Perak,"Belum, Temenggor",786,Amanjaya,18866,,2013,5,9,2013,5,9,Gazette Plan: PW 2112. 
Kedah,Langkawi,Kuah,398,Pulau Tuba,,12.28,2013,6,6,2012,1,11,Gazette Plan: PA 360547. 
Kelantan,Gua Musang,Ulu Nenggiri,1128,Berangkat,,118.898,2013,6,20,2013,4,3,Gazette Plan: PW 262. 
Kelantan,Gua Musang,Relai,1127,Relai,,404,2013,6,20,2012,8,8,Gazette Plan: PW 269. 
Pahang,Raub,Teras,1092,Rotan Tunggal,,20.24,2013,7,4,2013,7,4,Gazette Plan: PA 257842. 
Kedah,Padang Terap,Tolak,458,Koh Moi,,41.93,2013,7,4,2009,12,23,Gazette Plan: PW 50184. 
Perak,Batang Padang,Sungkai,1103,Bikam,,495.5,2013,7,4,2013,7,4,Gazette Plan: PW 2113. 
Pahang,Lipis,Kechau,1225,Chuat Tambahan,200,,2013,7,18,2013,7,18,Gazette Plan: PW 5053. 
Pahang,Lipis,Hulu Jelai,1226,Ulu Jelai Tambahan,,200,2013,7,18,2013,7,18,Gazette Plan: PA 258704. Reserve renamed from Hulu Jelai to Ulu Jelai (more recent spelling)
Perak,Hulu Perak,Belukar Semang,1214,Belukar Semang,,396.188,2013,7,18,2013,7,18,Gazette Plan: PW 3348. 
Pahang,Kuantan,Sungai Karang,1375,Balok,,758.7,2013,8,15,2013,8,15,Gazette Plan: PW 5025. 
Perak,Perak Tengah,Layang-layang,1662,Parit,,30.39,2013,8,29,2013,8,29,Gazette Plan: PW 1936. 
Negeri Sembilan,Port Dickson,Pasir Panjang,454,Pasir Panjang (Negeri Sembilan),,1.3011,2013,10,24,2013,10,24,"Gazette Plan: PW 5178. I added ""Negeri Sembilan"" to differentiate from the Penang reserve"
Johor,Johor Bahru,Jelutong,4447,Sungei Pulai,,18.82,2013,10,24,2013,10,24,Gazette Plan: PW 3362. I renamed from Sungai to Sungei (more recent spelling). English version was wrongly written as Tenggaroh
Terengganu,Hulu Terengganu,Hulu Telemung,954,Hulu Telemung,,22.15,2013,10,24,2012,9,19,Gazette Plan: PW 850. Daerah not mentioned. Filled in based on external source.
Perak,"Larut, Matang, dan Selama",Hulu Ijok,2161,Bintang Hijau,,648,2013,11,7,2013,11,7,Gazette Plan: PW 2116. Ijok and Bintang Hijau mentioned together for excision of 1296 ha
Perak,"Larut, Matang, dan Selama",Hulu Selama,2161,Ijok,,648,2013,11,7,2013,11,7,Gazette Plan: PW 2116. Ijok and Bintang Hijau mentioned together for excision of 1296 ha
Perak,Hulu Perak,Kenering,2356,Belukar Semang,,19.988,2013,12,5,2013,12,5,Gazette Plan: PW 2125. 
Perak,Hulu Perak,Kenering,2357,Kenderong,,170.034,2013,12,5,2013,12,5,Gazette Plan: PW 2125. 
Perak,Hulu Perak,Kenering,2355,Bintang Hijau,,172.708,2013,12,5,2013,12,5,Gazette Plan: PW 2125. 
Pahang,Lipis,Kechau,325,Chuat Tambahan,200,,2014,2,27,2014,2,27,Gazette Plan: PW 5053. 
Pahang,Lipis,Batu Yon,326,Yu,,149.7,2014,2,27,2014,2,27,Gazette Plan: PA 263909. 
Perak,Hulu Perak,Durian Pipit,601,Piah,,994,2014,3,20,2014,3,20,Gazette Plan: PW 3113. 
Perak,Kuala Kangsar,Senggang,603,Bubu,,44.21,2014,3,27,2014,3,27,Gazette Plan: PA 121167. 
Kelantan,Kuala Krai,"Manek Urai, Manjur",684,Ulu Temiang,,125.2,2014,4,10,2013,11,13,Gazette Plan: PW 1085. Remaining area do not tally
Kelantan,Gua Musang,Relai,684,Lebir,,213.7,2014,4,10,2013,11,13,"Gazette Plan: PW 1083, 1084. Remaining area do not tally"
Pahang,Lipis,Batu Yon,785,Ulu Jelai Tambahan,40.47,,2014,5,8,2014,5,8,Gazette Plan: PW 5069. Reserve renamed from Hulu Jelai Tambahan to Ulu Jelai Tambahan (more recent spelling)
Pahang,Lipis,Batu Yon,786,Yu,,40.47,2014,5,8,2014,5,8,Gazette Plan: PW 5068. 
Pahang,Pekan,Penyor,1108,Chini Tambahan,60.73,,2014,7,3,2014,7,3,Gazette Plan: PW 5073. 
Pahang,Lipis,Kechau,1109,Chuat Tambahan,40,,2014,7,3,2014,7,3,Gazette Plan: Pw 5074. 
Pahang,Rompin,Keratong,1111,Bukit Ibam,,36.42,2014,7,3,2014,7,3,Gazette Plan: PW 5075. 
Pahang,Rompin,Keratong,1110,Bukit Ibam,,60.73,2014,7,3,2014,7,3,Gazette Plan: PA 264135. 
Perak,Kuala Kangsar,Pulau Kamiri,1927,Chior Big Game,,692.7,2014,7,31,2014,7,31,Gazette Plan: PW 2126. 
Perak,Kuala Kangsar,Pulau Kamiri,1928,Piah,,1150.55,2014,7,31,2014,7,31,Gazette Plan: PW 2127. 
Pahang,Kuantan,Kuala Kuantan,1500,Bukit Galing,,56.151,2014,8,28,2014,8,28,Gazette Plan: PW 5056. 
Pahang,Pekan,Penyor,1522,Chini Tambahan,40.47,,2014,9,11,2014,9,11,Gazette Plan: PW 5080. 
Pahang,Pekan,Penyor,1523,Bukit Ibam,,40.46,2014,9,11,2014,9,11,Gazette Plan: PW 5081. 
Kelantan,Gua Musang,Ulu Nenggiri,2083,Batu Papan,,1968.68,2014,9,11,2014,2,19,Gazette Plan: PW 1086. 
Pahang,Lipis,Kechau,1573,Chuat Tambahan,40.47,,2014,9,25,2014,9,25,Gazette Plan: PW 5083. 
Pahang,Lipis,Kechau,1574,Chuat Tambahan,62.38,,2014,9,25,2014,9,25,Gazette Plan: PW 5087. 
Pahang,Lipis,Batu Yon,1575,Yu,,40.47,2014,9,25,2014,9,25,Gazette Plan: PW 5085. 
Pahang,Kuantan,Sungai Karang,1576,Balok,,62.27,2014,9,25,2014,9,25,Gazette Plan: PA 266389. 
Pahang,Lipis,Kechau,1663,Chuat Tambahan,77.01,,2014,10,9,2014,10,9,Gazette Plan: PW 5082. 
Pahang,Lipis,Kechau,1662,Chuat Tambahan,62.38,,2014,10,9,2014,10,9,Gazette Plan: PW 5087. 
Pahang,Kuantan,Sungai Karang,1665,Balok,,62.27,2014,10,9,2014,10,9,Gazette Plan: PA 266389. 
Perak,Hulu Perak,Gerik,2524,Ayer Chepam,,67.78,2014,10,9,2014,10,9,Gazette Plan: PW 3491. 
Pahang,Lipis,Hulu Jelai,1664,Ulu Jelai,,77.01,2014,10,9,2014,10,9,Gazette Plan: PA 264214. 
Terengganu,Marang,Merchang,1110,Paya Gelam,103.8,,2014,11,6,2014,4,23,Gazette Plan: PW 870. 
Perak,"Larut, Matang, dan Selama",Hulu Selama,2853,Bintang Hijau,,4.05,2014,11,20,2014,11,20,Gazette Plan: PW 3667. 
Johor,Mersing,Mersing,5013,Tenggaroh,,6917.29,2014,12,18,2014,12,18,Gazette Plan: G 6-51. 
Johor,Mersing,Endau,5012,Jemaluang,,8093.713,2014,12,18,2014,12,18,Gazette Plan: PW 1. 
Pahang,Jerantut,Tembeling,2200,Yong,,4047,2014,12,29,2014,12,29,Gazette Plan: PW 5093. 
Perak,Kuala Kangsar,Kota Lama Kiri,88,Bintang Hijau,,5.756,2015,1,15,2015,1,15,Gazette Plan: PA 131313. 
Perak,Hulu Perak,Lenggong,380,Piah,2362,,2015,2,12,2015,2,12,Gazette Plan: PW 3487. 
Perak,Manjung,Lumut,381,Teluk Meroh,116.6,,2015,2,12,2015,2,12,Gazette Plan: PW 3638. I renamed from Muroh to Meroh (most recent spelling)
Perak,Manjung,Lekir,379,Lekir,616,,2015,2,12,2015,2,12,Gazette Plan: PW 3776. 
Pahang,Kuantan,Sungai Karang,313,Balok Tambahan,58.88,,2015,2,12,2015,2,12,Gazette Plan: PW 5055. 
Pahang,Kuantan,Hulu Kuantan,317,Reman Chereh Tambahan,50.27,,2015,2,12,2015,2,12,Gazette Plan: PW 5088. 
Pahang,Jerantut,Tembeling,314,Yong Tambahan,101.26,,2015,2,12,2015,2,12,Gazette Plan: PW 5089. 
Pahang,Jerantut,Tembeling,316,Yong Tambahan,60.72,,2015,2,12,2015,2,12,Gazette Plan: PW 5090. 
Pahang,Jerantut,Tembeling,315,Yong Tambahan,133.7,,2015,2,12,2015,2,12,Gazette Plan: PW 5091. 
Pahang,Jerantut,Kuala Tembeling,320,Som,,50.01,2015,2,12,2015,2,12,Gazette Plan: PA 263758. 
Pahang,Lipis,Cheka,319,Kerambit,,60.68,2015,2,12,2015,2,12,Gazette Plan: PA 264043. 
Pahang,Lipis,Hulu Jelai,318,Ulu Jelai,,101.2,2015,2,12,2015,2,12,Gazette Plan: PA 265500. 
Pahang,Pekan,Penyor,321,Chini,,133.4,2015,2,12,2015,2,12,Gazette Plan: PA 264154. I renamed from Cini to Chini (most recent spelling)
Terengganu,Setiu,Hulu Nerus,206,Bukit Mual,260.3,,2015,3,12,2014,9,10,Gazette Plan: PA 68923. 
Pahang,Jerantut,Tembeling,533,Yong Tambahan,49.99,,2015,3,12,2015,3,12,Gazette Plan: PW 5094. 
Johor,Batu Pahat,Simpang Kanan,1127,Soga Tambahan,,2.924,2015,3,12,2015,3,12,Gazette Plan: G 11-43. 
Pahang,Raub,Batu Talam,534,Batu Talam,,49.87,2015,3,12,2015,3,12,Gazette Plan: PA 268035. 
Johor,Mersing,Tenggaroh,1126,Tenggaroh,,670.8,2015,3,12,2015,3,12,Gazette Plan: PW 3261. 
Malacca,Alor Gajah,Kuala Linggi,209,X - NOT STATED,10.56,,2015,3,26,2012,5,9,Gazette Plan: PA 103238. Forest reserve NOT STATED
Malacca,Jasin,Merlimau,208,X - NOT STATED,12.51,,2015,3,26,2013,3,6,Gazette Plan: PA 28653. Forest reserve NOT STATED
Negeri Sembilan,Seremban,Labu,341,Gallah,,15.22,2015,4,9,2015,4,9,Gazette Plan: PW 5351. 
Negeri Sembilan,Seremban,Labu,340,Gallah,,20.45,2015,4,9,2015,4,9,Gazette Plan: PW 5351. 
Pahang,Rompin,Keratong,1040,Sungai Pukin Tambahan,100,,2015,6,4,2015,6,4,Gazette Plan: PW 5084. 
Pahang,Rompin,Keratong,1041,Sungai Lesong,,100,2015,6,4,2015,6,4,Gazette Plan: PW 5077. 
Pahang,Lipis,Kechau,1613,Chuat Tambahan,202.86,,2015,9,10,2015,9,10,Gazette Plan: PW 5101. 
Kedah,Pendang,Padang Peliang,702,Bukit Perak,,80.94,2015,9,10,2015,1,7,Gazette Plan: PW 50321. 
Pahang,Lipis,Batu Yon,1614,Ulu Jelai,,201.4,2015,9,10,2015,9,10,"Gazette Plan: PA 271262, 271263. "
Pahang,Kuantan,Sungai Karang,1807,Balok Tambahan,60.73,,2015,9,24,2015,9,24,Gazette Plan: PW 5100. 
Perak,"Larut, Matang, dan Selama",Jebong,2612,Jebong,,9.105,2015,9,24,2015,9,24,Gazette Plan: PW 4000. 
Negeri Sembilan,Seremban,Labu,739,Gallah,,16.48,2015,9,24,2015,9,24,Gazette Plan: PW 5351. 
Pahang,Jerantut,Kuala Tembeling,1808,Som,,60.71,2015,9,24,2015,9,24,Gazette Plan: PA 269370. 
Negeri Sembilan,Jelebu,Ulu Klawang,890,Berembun,,9.5835,2015,12,3,2015,12,3,Gazette Plan: PW 5331. 
Negeri Sembilan,Kuala Pilah,Johol,888,Senaling-Inas,,12.1743,2015,12,3,2015,12,3,Gazette Plan: PW 5338. 
Negeri Sembilan,Kuala Pilah,Johol,889,Senaling-Inas,,12.1842,2015,12,3,2015,12,3,Gazette Plan: PW 5334. 
Negeri Sembilan,Jelebu,Triang Ilir,891,Pasoh,,24.3,2015,12,3,2015,12,3,Gazette Plan: PW 5349. 
Perak,Hulu Perak,Kenering,3400,Papulut,,110.6,2015,12,3,2015,12,3,Gazette Plan: PW 4060. 
Perak,Hulu Perak,Gerik,3399,Papulut,,209.7,2015,12,3,2015,12,3,Gazette Plan: PW 4144. 
Perak,Hulu Perak,Kenering,3401,Papulut,,325.89,2015,12,3,2015,12,3,Gazette Plan: PW 3979. 
Perak,Kuala Kangsar,Chegar Galah,3569,Bintang Hijau,,0.4431,2015,12,31,2015,12,31,Gazette Plan: PA 142087. 
Perak,Hulu Perak,Kenering,303,Papulut,,19.3,2016,2,5,2016,2,5,Gazette Plan: PW 4063. 
Pahang,Kuantan,Kuala Kuantan,288,Bukit Galing Tambahan,10.28,,2016,3,17,2016,3,17,Gazette Plan: PA 121287. 
Pahang,Kuantan,Sungai Karang,695,Balok Tambahan,100,,2016,5,9,2016,5,9,Gazette Plan: PW 5188. 
Pahang,Lipis,Hulu Jelai,696,Ulu Jelai,,100,2016,5,9,2016,5,9,Gazette Plan: PA 272384. 
Pahang,Jerantut,Tembeling,703,Tekai Tembeling,,9.308,2016,5,12,2016,5,12,Gazette Plan: PW 5057. 
Johor,Muar,Tangkak,1564,Gunung Ledang,,3.964,2016,5,26,2016,5,26,Gazette Plan: PW 3349. 
Perak,Hulu Perak,Lenggong,1265,Piah,,2252.881,2016,5,26,2016,5,26,Gazette Plan: PW 4217. 
Negeri Sembilan,Jempol,Serting Ulu,262,Pasoh,,4.0901,2016,6,23,2016,6,23,Gazette Plan: PW 5324. 
Negeri Sembilan,Kuala Pilah,Johol,264,Johol,,12.129,2016,6,23,2016,6,23,Gazette Plan: PW 5345. 
Negeri Sembilan,Kuala Pilah,Johol,263,Johol,,30,2016,6,23,2016,6,23,Gazette Plan: PW 5380. 
Johor,Segamat,Bekok,1837,Labis,,1079,2016,6,23,2016,6,23,Gazette Plan: PW 3020. 
Pahang,Cameron Highlands,Tanah Rata,1149,Ulu Bertam,,2.012,2016,8,4,2016,8,4,Gazette Plan: PW 5050. 
Pahang,Cameron Highlands,Tanah Rata,1150,Ulu Bertam,,33.132,2016,8,4,2016,8,4,Gazette Plan: PW 5051. 
Terengganu,Hulu Terengganu,Hulu Terengganu,812,Tembat,,53.2,2016,8,4,1997,2,5,Gazette Plan: PW 879. 
Kedah,Langkawi,Kuah,697,Selat Panchor,,15.89,2016,10,13,2007,4,11,Gazette Plan: PW 50345. 
Malacca,Alor Gajah,Sungei Baru Ulu,582,X - NOT STATED,20.3,,2016,10,27,2011,6,8,Gazette Plan: PA 105369. Forest reserve NOT STATED
Malacca,Jasin,Sebatu,583,X - NOT STATED,24.7174,,2016,10,27,2013,3,6,Gazette Plan: PA 105458. Forest reserve NOT STATED
Malacca,Alor Gajah,Taboh Naning,584,X - NOT STATED,41.65,,2016,10,27,2012,8,29,Gazette Plan: PA 45887. Forest reserve NOT STATED
Pahang,Raub,Teras,1861,Batu Talam Tambahan,61.32,,2016,11,24,2016,11,24,Gazette Plan: PW 5195. 
Pahang,Raub,Gali,1863,Kelau,,20.24,2016,11,24,2016,11,24,Gazette Plan: PW 5197. 
Pahang,Raub,Gali,1862,Rotan Tunggal,,40.47,2016,11,24,2016,11,24,Gazette Plan: PW 5194. 
Terengganu,Dungun,Jerangau,1263,Besul,,2553,2016,12,8,2012,7,25,Gazette Plan: PW 1007. 
Kedah,Kuala Muda,Gurun,59,Gunung Jerai,,46.538,2017,1,19,2004,1,28,Gazette Plan: DW 50537. 
Perak,Hulu Perak,Pengkalan Hulu,219,Sungai Kuak,,202.4,2017,1,19,2017,1,19,Gazette Plan: PW 4323. 
Perak,Batang Padang,Bidor,385,Sungai Chikus,,663.4,2017,2,2,2017,2,2,Gazette Plan: PW 4172. 
Perak,Kinta,Hulu Kinta,554,Kledang Saiong,18.206,,2017,2,16,2017,2,16,Gazette Plan: PA 31687. 
Perak,Kuala Kangsar,Sungai Siput,555,Sungai Plus,,931.92,2017,2,16,2017,2,16,Gazette Plan: PW 4203. 
Perak,"Larut, Matang, dan Selama",Sungai Tinggi,571,Sungai Tinggi,,7.305,2017,3,2,2017,3,2,"Gazette Plan: PW 3722. Daerah changed to Larut, Matang dan Selama (more recent designation)"
Pahang,Bentong,Sabai,646,Lentang Tambahan,60.88,,2017,4,13,2017,4,13,Gazette Plan: PW 5213. 
Pahang,Rompin,Keratong,557,Bukit Ibam,,22.76,2017,4,13,2017,4,13,Gazette Plan: PW 5193. 
Pahang,Rompin,Keratong,647,Bukit Ibam,,60.69,2017,4,13,2017,4,13,Gazette Plan: PA 274030. 
Perak,Manjung,Pengkalan Baharu,1225,Segari Melintang,,0.3,2017,5,4,2017,5,4,Gazette Plan: PW 4274. Mukim renamed from Pengkalan Bahru to Pengkalan Baharu (more recent spelling)
Pahang,Rompin,Keratong,757,Sungai Pukin Tambahan,40.71,,2017,5,11,2017,5,11,Gazette Plan: PW 5199. 
Johor,Johor Bahru,Tanjung Kupang,2655,Sungei Pulai,,812.63,2017,5,11,2017,5,11,"Gazette Plan: G 72-60. PT 5087, 5088, 5089, 5090"
Kelantan,Tumpat,Periok,740,Kubang Nibong,,13.044,2017,5,25,2014,8,6,"Gazette Plan: PW 1390. PT 2526, PT 2527"
Selangor,Gombak,Batu,2192,Bukit Lagong Plot A,40.46,,2017,6,22,2017,6,22,Gazette Plan: PW 1892. 
Selangor,Gombak,Batu,2193,Ulu Gombak Tambahan 3,60.07,,2017,6,22,2017,6,22,Gazette Plan: PW 1894. 
Selangor,Gombak,Batu,2194,Ulu Gombak,,20.3,2017,6,22,2017,6,22,Gazette Plan: PW 1893. 
Pahang,Lipis,Kechau,1167,Chuat Tambahan,60.72,,2017,7,6,2017,7,6,Gazette Plan: PW 5210. 
Pahang,Lipis,Penjom,1168,Terengun,,60.69,2017,7,6,2017,7,6,Gazette Plan: PA 278275. 
Terengganu,Kuala Nerus,Pakoh,780,Belara,,2432,2017,8,17,2016,4,20,Gazette Plan: PW 1015. 
Perak,Kinta,Hulu Kinta,2578,Kledang Saiong,,24.62,2017,9,14,2017,9,14,Gazette Plan: PW 4450. 
Kedah,Kuala Muda,Gurun,593,Bukit Perak,,112.46,2017,9,14,2013,7,11,Gazette Plan: DW 50671. 
Negeri Sembilan,Tampin,Gemas,513,Gemas Selatan,,18.65,2017,9,28,2017,9,28,Gazette Plan: PW 5466. 
Perak,Perak Tengah,Layang-layang,2837,Parit,,20.234,2017,10,12,2017,10,12,Gazette Plan: PW 4022. 
Perak,Muallim,Hulu Bernam,3053,Behrang,,2.84,2017,11,9,2017,11,9,Gazette Plan: PW 4404. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1307,Tembat,,5.803,2017,11,23,2017,2,1,Gazette Plan: PW 1030. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1306,Tembat,,7.708,2017,11,23,2017,2,1,Gazette Plan: PW 1031. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1304,Tembat,,14.64,2017,11,23,2017,2,1,Gazette Plan: PW 1029. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1308,Tembat,,20.39,2017,11,23,2017,2,1,Gazette Plan: PW 1028. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1305,Tembat,,36.21,2017,11,23,2017,2,1,Gazette Plan: PW 1027. 
Terengganu,Hulu Terengganu,Hulu Terengganu,1309,Tembat,,40.53,2017,11,23,2017,2,15,Gazette Plan: PW 1016. 
Terengganu,Kemaman,Tebak,1299,Bandi,,58.3,2017,11,23,2016,3,2,Gazette Plan: PW 1019. 
Terengganu,Kemaman,Bandi,1300,Bandi,,59.86,2017,11,23,2016,8,24,Gazette Plan: PW 1018. 
Terengganu,Kemaman,Bandi,1301,Bandi,,60,2017,11,23,2016,8,24,Gazette Plan: PW 1021. 
